Title,ALogP,ALogp2,AMR,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nAcid,naAromAtom,nAromBond,nAtom,nBase,nB,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,nAtomLC,nAtomP,LipinskiFailures,nAtomLAC,MLogP,nRotB,MW,XLogP
,3.5981,12.94632361,93.8988,11.9,18.99840669,-0.305272903,0.123720877,4.050475285,11.39654338,0,15,16,46,1,27,0,0,1,11,1,3,2,1,0,0,0,0.07856742,0.462027588,0.769611482,0,0,0.025,0.181084218,0.253347189,1.523056038,0,0.247193875,0,0.814680987,0,0.088768368,0,16.51829709,11.70350994,10.66526001,8.966055797,7.645772223,6.621021931,4.503751194,3.359649195,13.95129159,8.586748901,6.772723116,4.927650233,3.72151266,2.735582333,1.593840071,0.992987022,3.379299992,5.532889206,8.142870889,1.547359638,2.270635065,2.876010579,12,9,0,5,3.22,3,323.1797761,3.787
,1.563,2.442969,113.1486,11.9,15.99492246,-0.298082945,0.233761443,5.610560372,11.36074432,0,9,10,62,1,33,0,0,2,6,3,7,5,2,0,0.288675135,0.204124145,0.06415003,0.612887369,1.011294056,0.288675135,0.204124145,0.02795085,0.348801467,0.491913196,1.903120666,0,0.470227868,0,1.274914178,0,0.160909179,0,19.95745468,14.13536159,12.9183049,10.95374648,9.304647336,8.13053013,6.087960673,4.728950468,17.69927207,11.40254009,9.459669742,6.887305359,5.074321595,3.993326475,2.482395072,1.657450309,4.619766786,7.6946873,11.49748427,2.411324117,3.486016144,4.5752652,15,12,0,5,3.77,6,391.2623629,4.589
,1.5118,2.28553924,20.6556,11.99870712,34.9701549,-0.214484807,0.110870483,5.098033504,6.810751817,0,0,0,8,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.414213562,1.914213562,1,0.5,0,0,0,0,3.6820004,2.103567451,1.133893419,0.642857143,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1.46,1,97.96900552,1.74
,2.783,7.745089,69.8712,11.85,14.00308213,-0.296306537,0.101312547,7.22135581,11.87638218,0,12,12,32,1,20,0,0,0,8,4,1,2,1,0,0,0,0.068041382,0.466441848,0.877374962,0,0,0.036084392,0.202379846,0.36050913,1.397884445,0.11785113,0.574053944,0.096225045,0.869295046,0.0625,0.263403785,0.036084392,11.45781916,8.288641693,7.911559189,7.335614586,6.841561494,5.908016163,4.180748559,3.19871255,9.903259204,6.243852489,5.270445074,4.317864276,3.549999261,2.649796126,1.665972367,1.079770778,3.844019309,7.409322159,11.41547652,2.080115731,3.523633983,4.72755619,8,6,0,2,3.11,0,221.1204496,3.26
,-0.244,0.059536,16.1948,11.89,15.99491539,-0.29979485,0.18866563,3.486497794,5.155392082,0,0,0,10,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269,0,0,0,0.204124145,0,0,0,3.577350269,1.732050808,1.732050808,0,0,0,0,0,2.90824829,1.204124145,0.90824829,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1.68,0,58.04186486,0.185
,1.83,3.3489,26.058,11.85,12.1500544,-0.211758152,0.08829625,6.093375,6.393429402,0,6,6,12,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,4.242640687,3,2.121320344,1.5,1.060660172,0.75,0,0,3.464101615,2,1.154700538,0.666666667,0.384900179,0.222222222,0,0,0,0,0,0,0,0,4,6,0,0,2.12,0,78.04695024,2.022
,-0.9734,0.94750756,18.9987,11.89,15.99491564,-0.3957153,0.050874152,3.795810056,5.991014099,0,0,0,15,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.121320344,2.414213562,1.353553391,0.707106781,0.353553391,0,0,0,3.568533939,2.023334547,1.077160188,0.511667274,0.158113883,0,0,0,0,0,0,0,0,0,5,0,0,4,1.79,2,74.07316502,0.851
,-1.6254,2.64192516,29.267,11.89,12.11011416,-0.170505151,0.049820989,5.097566341,7.171461662,0,0,0,26,0,7,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.242640687,3.914213562,2.414213562,1.457106781,0.853553391,0.478553391,0.25,0.125,6.242640687,3.914213562,2.414213562,1.457106781,0.853553391,0.478553391,0.25,0.125,0,0,0,0,0,0,8,0,0,8,2.34,5,114.1408507,4.892
,2.8592,8.17502464,67.7881,11.85,34.96885335,-0.302667162,0.179317137,5.537929049,9.772196206,0,6,6,34,1,16,0,0,0,6,1,4,1,1,0,0,0,0,0.083333333,0.131445856,0,0,0,0.027777778,0.045385928,2.444154323,0.353553391,0.232307808,0,1.725578702,0.25,0.049104638,0,12.34493498,7.293512317,7.633042249,4.552442945,3.575005256,2.376400303,1.241173026,0.650099968,10.92889306,5.747138598,5.427059303,2.387034513,1.797101052,0.866004561,0.46153292,0.188033101,2.550465668,3.90324098,4.945258464,1.168218029,1.815828609,1.690288665,9,8,0,3,2.56,4,239.107692,3.633
,-0.1076,0.01157776,12.5551,11.89,15.99491513,-0.395988916,0.116983671,3.324247981,4.38342205,0,0,0,9,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.707106781,1.414213562,0.707106781,0,0,0,0,0,2.154320377,1.023334547,0.316227766,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.57,0,46.04186486,-0.076
