BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,mol_smile
2.236,309.961,9.259,7.604,7.604,6.288,4.444,4.444,3.345,3.345,2.562,2.562,1.767,1.767,0.0,4.795,0.0,11.949,6.421,11.984,0.0,11.097,25.377,4.984,0.0,176.095,0.4,-1.38,13.0,164.123,1536.369,8.229,3.166,1.414,77.391,11.263,0.339,11.263,0.222,0.23,0.222,0.23,-0.339,1.375,48.982,176.219,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,68.0,4.9,0.0,0.0,5.907,0.0,0.0,9.779,0.0,0.0,0.0,6.066,18.051,25.862,6.042,2.0,4.795,5.907,0.0,9.884,0.0,18.883,7.048,30.09,0.0,0.0,0.0,0.0,0.0,0.0,22.839,4.795,0.0,24.447,24.526,0.0,0.0,0.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN1C(c2cccnc2)CCC1=O
2.139,678.492,15.527,13.173,13.173,10.648,7.707,7.707,6.076,6.076,4.056,4.056,3.09,3.09,0.0,4.795,0.0,5.783,6.545,18.415,22.254,0.0,25.071,48.531,0.0,291.162,0.25,-2.19,22.0,270.226,126062.961,14.735,6.285,3.022,131.634,12.335,0.302,12.335,0.17,0.145,0.17,0.145,-0.302,3.348,90.932,291.394,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,112.0,4.9,0.0,5.783,0.0,0.0,0.0,4.795,0.0,0.0,0.0,48.531,60.84,0.0,6.545,3.0,4.795,11.356,0.0,4.9,0.0,12.842,20.64,76.861,0.0,0.0,0.0,0.0,0.0,0.0,31.323,17.636,0.0,22.254,54.607,0.0,5.573,0.0,20.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(C)CC(=O)C=C1c2ccccc2CCc2ccccc21
1.886,350.948,13.336,11.492,11.492,8.355,6.855,6.855,6.631,6.631,3.909,3.909,3.385,3.385,6.042,9.589,0.0,23.395,18.76,12.842,6.421,0.0,0.0,26.088,4.737,253.168,0.857,-1.06,18.0,230.158,10089.311,13.374,4.902,3.239,108.458,11.94,0.461,11.94,0.328,0.008,0.328,-0.419,-0.461,2.023,67.841,253.342,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,3.0,1.0,1.0,2.0,102.0,10.054,12.146,0.0,5.907,0.0,5.969,4.795,4.795,0.0,0.0,20.771,37.016,6.421,0.0,2.0,14.326,11.876,0.0,5.317,11.333,65.021,0.0,0.0,0.0,0.0,5.317,0.0,0.0,0.0,24.022,14.326,11.333,52.875,0.0,0.0,0.0,0.0,55.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1CC(OC(=O)C2CCC(=O)N2)CC(C)(C)C1
4.888,272.192,12.715,10.857,10.857,7.489,5.635,5.635,3.781,3.781,2.422,2.422,1.594,1.594,0.0,9.589,0.0,17.856,12.966,0.0,10.976,31.995,13.847,0.0,0.0,226.168,0.667,-1.32,16.0,204.144,2318.481,14.68,7.037,3.68,97.907,11.891,0.347,11.891,0.246,0.026,0.246,-0.358,-0.347,1.278,64.974,226.32,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,92.0,9.8,6.042,0.0,11.814,0.0,0.0,9.589,0.0,0.0,0.0,13.0,26.344,20.64,0.0,0.0,9.589,11.814,0.0,9.8,0.0,33.234,20.64,12.152,0.0,0.0,0.0,0.0,0.0,0.0,48.296,9.589,0.0,27.192,12.152,0.0,0.0,0.0,40.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCC(N(CC)C(=O)C=CC)C(=O)N(C)C
1.48,683.792,18.952,15.149,15.149,13.151,9.129,9.129,6.841,6.841,4.723,4.723,3.243,3.243,12.186,9.589,0.0,18.629,11.375,25.683,0.0,24.265,36.398,10.634,9.474,368.174,0.333,-3.02,27.0,344.241,1921899.63,18.762,9.073,5.74,158.417,12.037,0.449,12.037,0.411,0.226,0.411,-0.499,-0.449,5.044,103.726,368.433,2.0,6.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,2.0,6.0,0.0,10.0,1.0,0.0,1.0,142.0,9.474,13.214,0.0,0.0,0.0,12.186,10.634,9.589,0.0,0.0,49.24,37.107,16.79,0.0,3.0,19.063,23.561,0.0,0.0,5.415,25.683,23.847,60.664,0.0,0.0,10.634,20.964,0.0,0.0,25.4,9.474,5.415,25.683,60.664,0.0,0.0,0.0,76.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(Nc1ccccc1)OCC1(COC(=O)Nc2ccccc2)CCCC1
1.714,536.22,13.905,12.601,12.601,9.576,8.142,8.142,7.507,7.507,6.175,6.175,4.554,4.554,0.0,5.107,0.0,5.415,17.709,5.918,49.9,0.0,12.133,24.814,0.0,271.194,0.667,-1.02,20.0,246.204,87343.311,12.7,4.237,1.807,121.347,9.855,0.508,9.855,0.115,0.247,0.115,0.247,-0.508,3.326,81.029,271.404,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,108.0,5.107,5.75,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,19.914,72.738,12.587,0.0,4.0,5.107,0.0,0.0,4.9,11.836,50.988,13.09,29.326,0.0,5.75,0.0,0.0,5.75,0.0,29.138,11.836,11.836,44.237,18.199,0.0,0.0,0.0,23.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1
2.081,510.43,11.121,9.955,9.955,7.754,6.004,6.004,4.988,4.988,3.8,3.8,2.792,2.792,0.0,0.0,0.0,0.0,6.042,0.0,35.859,5.563,0.0,48.245,0.0,214.147,0.429,-1.28,16.0,196.168,8486.685,9.912,3.633,1.449,96.266,3.557,0.358,3.557,0.046,0.701,0.046,0.701,-0.358,2.587,67.799,214.312,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,84.0,9.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.199,44.988,22.639,0.0,3.0,0.0,10.903,0.0,9.884,0.0,25.304,14.095,35.523,0.0,0.0,0.0,0.0,0.0,0.0,30.021,12.842,0.0,17.678,24.265,0.0,10.903,0.0,19.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(C)C1CCc2[nH]c3ccccc3c2C1
2.409,391.974,12.466,9.838,9.838,8.108,5.974,5.974,4.471,4.471,3.599,3.599,2.62,2.62,23.26,14.384,0.0,0.0,6.421,31.256,0.0,6.924,6.076,10.634,0.0,236.116,0.583,-1.65,17.0,220.143,7460.405,11.824,4.313,1.751,99.637,12.034,0.328,12.034,0.328,0.379,0.277,-1.172,-0.277,1.249,60.956,236.271,2.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,2.0,0.0,1.0,1.0,92.0,0.0,5.415,0.0,11.814,0.0,6.031,20.223,4.795,0.0,0.0,13.0,37.677,0.0,0.0,2.0,14.384,17.845,0.0,10.634,5.415,39.028,0.0,11.649,0.0,0.0,10.634,4.795,0.0,0.0,17.845,9.589,5.415,39.028,11.649,0.0,0.0,0.0,75.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
2.101,640.99,14.656,12.712,12.712,10.254,7.473,7.473,5.718,5.718,3.869,3.869,2.787,2.787,0.0,0.0,0.0,0.0,0.0,12.966,27.827,0.0,0.0,85.754,0.0,275.167,0.2,-2.12,21.0,254.227,89136.523,13.844,6.108,2.983,126.783,2.38,0.309,2.38,0.001,1.061,0.001,1.061,-0.309,4.554,92.062,275.395,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,106.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.759,48.343,6.545,0.0,3.0,0.0,17.725,0.0,4.9,0.0,6.421,20.64,76.861,0.0,0.0,0.0,0.0,0.0,0.0,25.54,0.0,0.0,28.675,54.607,0.0,17.725,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
1.298,904.807,20.717,16.867,17.683,14.487,10.71,11.526,8.364,9.448,6.157,7.288,4.491,5.567,11.74,13.171,0.0,0.0,12.232,60.665,24.974,17.828,24.265,14.7,0.0,433.18,0.478,-1.7,30.0,407.335,15555674.166,20.217,8.094,4.201,179.385,13.333,0.416,13.333,0.416,0.581,0.34,-4.33,-0.34,5.478,114.667,433.543,0.0,3.0,1.0,2.0,3.0,2.0,0.0,2.0,4.0,0.0,7.0,0.0,6.0,1.0,1.0,2.0,160.0,9.8,0.0,0.0,0.0,0.0,6.176,4.9,0.0,13.171,0.0,23.895,56.139,48.557,16.938,5.0,13.171,23.137,0.0,9.8,0.0,41.272,44.168,48.028,0.0,0.0,4.9,24.546,0.0,11.762,55.11,6.176,0.0,24.826,52.256,0.0,0.0,0.0,9.72,0.0,1.551,0.0,0.0,0.0,0.0,0.0,0.0,39.998,28.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(C3CC3)CC1)c1c(cccc1)S2
