Title,ALogP,ALogp2,AMR,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,fragC,nAcid,apol,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nBase,nB,bpol,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,ECCEN,FMF,tpsaEfficiency,nHBDon,nHBAcc,HybRatio,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,Kier1,Kier2,Kier3,nAtomLC,nAtomP,LipinskiFailures,nAtomLAC,MLogP,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,PetitjeanNumber,topoShape,nRotB,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,TopoPSA,VAdjMat,VABC,MW,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,WPATH,WPOL,XLogP,Zagreb
,1.5666,2.45423556,159.9328,11.89,78.91833774,-0.351496525,0.256447399,5.739790506,12.40639945,6115.11,0,95.55172,9,10,83,0.960704192,-0.592598081,0.14358874,0.122404143,-0.352367163,91.93033748,58.80559246,100.6558807,121.3028689,128.1015321,3979.107418,5011.23953,7984.698307,8872.098335,8702.989335,1,49,57.06828,0,0,4,5,4,7,8,3,0,0,0,0.255344115,0.824619142,1.924235704,0,0,0.145358866,0.375555149,0.712721387,4.455307645,0.201184464,1.822157134,0.218842088,2.653395011,0.053033009,0.708976059,0.049099624,30.584693,20.36857082,20.501306,18.22109471,16.71777603,14.59194551,11.15648431,8.497045481,26.90195193,16.26489122,14.47711409,10.93039208,8.720947496,6.648690512,4.769155876,3.20626652,11.44047547,20.53245236,33.64451877,5.550007085,8.3484909,11.66789191,1223,0.697674419,0.18096471,3,9,0.59375,0,0,0,0,0,0,5,0,6,0,1,3,6,0,0,4,3,2,2,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31.59183673,11.31261016,4.745427583,3,11,0,3,3.77,1.520910855,6.612705807,11.94094851,2.268995465,7.630838738,28.9527837,3.727484703,21.7924355,6.97863534,0.5,1.117161713,1.208550159,0,0,0,0,0.125,1.014086579,0.522757959,0.5,1,6,7,2,2,1,0,0,3,4,0,0,0,118.21,6.614709844,550.8596397,653.2212818,88.93236878,2.068194623,32.65171457,13.53528169,16.52521901,5950,92,3.791,256
,4.3909,19.28000281,141.3472,11.85,15.997949,-0.365262538,0.268774215,4.553292489,11.07949206,4597.05,1,85.299341,18,18,74,0.574107038,-0.2576656,-0.034809996,-0.072750533,0.084268181,40.45785644,42.15900569,58.92975065,63.31374352,55.37265528,2525.859024,2907.425766,3927.149848,4023.70627,3542.86472,1,40,46.260659,0,0,1,15,4,5,6,0,1,0,0,0,0.370790812,0.325481449,0,0,0,0.15647753,0.136810675,2.623729619,0.166666667,1.186946596,0.25,1.561819665,0.125,0.321293731,0.06448844,26.25250161,17.84137372,16.07844732,13.47113024,9.903057657,7.930919818,5.153671961,4.049886443,21.80652384,13.19207756,10.41272188,7.409189056,4.870480899,3.445951206,1.98968196,1.331738748,6.666602791,8.084520038,9.967541384,2.884520514,3.155632881,3.244930127,1274,0.810810811,0.133874852,1,5,0.375,0,0,0,0,0,0,2,0,7,0,0,14,2,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.97,14.5785124,8.493061224,5,8,2,4,4.43,0.5,3.931576482,2.274772686,2,0,29.64810469,2.239299885,4.840014791,1.473244277,0,0.595275394,0.23712622,0,0,0,0,0,0,0,0.5,1,11,4,3,4,3,0,0,0,4,0,0,0,66.84,6.321928095,497.0587532,499.272259,75.26840983,2.034281347,13.93635492,10.48270692,3.453648001,5490,58,5.929,190
,-0.2481,0.06155361,91.6186,11.89,31.97207222,-0.327107925,0.302194551,4.699842703,11.81640388,1473.08,1,50.237067,0,0,43,0.665462153,-0.331396551,-0.080554809,0.37231135,-0.444479961,34.30557008,31.66502992,45.99224128,51.8800794,49.20680498,1816.142833,2173.406206,2935.96868,2984.618533,2546.091852,1,26,27.904933,0,0,3,4,2,3,4,0,0,0,0.111111111,0.332395981,0.700170447,1.06073724,0,0.074535599,0.196251723,0.402083467,0.557400851,1.850692449,0,0.702657303,0,0.921593839,0,0.238619269,0,17.43035694,11.41359136,10.6103706,9.088370951,7.423193913,5.82171753,3.669567213,2.601407388,14.00668916,8.739751229,7.103089529,5.801677326,4.277302103,3.128560659,1.844170857,1.147557413,4.782950492,7.461426232,10.60880654,2.293824866,3.21058548,4.060334083,484,0.708333333,0.395377237,3,7,0.4375,0,0,0,0,0,0,1,0,3,0,3,0,3,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78106509,7.709141274,3.618369527,4,8,0,2,2.34,0,0.737312871,2.270161514,0,5.222632016,11.01204319,0,11.8248191,0,0,1.195266057,0,0,0,0.333333333,0.166666667,0,0.333333333,0,0.5,1,5,3,0,2,0,0,1,0,2,0,0,0,138.03,5.700439718,319.0642959,349.1096272,48.31961718,2.013317383,22.14536164,9.973602387,9.083764881,1383,39,-2.462,128
,2.7362,7.48679044,78.2578,11.99851815,34.97015624,-0.331600064,0.258930618,3.775353212,10.30815716,1102.05,1,44.373067,6,6,38,0.373131169,-0.168569735,-0.090446961,0.125722505,-0.027467363,36.33481819,24.06627103,29.006922,28.881151,30.63744845,1153.222737,1251.403975,1534.238931,1555.716186,1372.509607,0,19,24.548933,0,0,1,5,1,4,3,0,0,0,0,0,0.083333333,0.107038088,0,0,0,0.027777778,0.032064455,0.945705769,0,0.083333333,0,0.368739851,0,0.0372678,0,14.08757567,9.168233758,7.442986032,5.270856948,4.120409928,3.077570448,2.052209114,1.275232834,12.32961086,7.41583471,5.034680692,3.20450979,2.299288474,1.510101975,0.877377914,0.436116388,1.664496878,2.317490793,2.722016415,0.743748523,1.05117641,1.15451742,343,0.315789474,0.133760379,1,3,0.5,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.05263158,9.833648393,6.816568047,7,7,0,4,2.45,0,0,0,0,15.65778858,10.64669123,0,0.685006711,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,9,1,1,1,1,0,0,0,1,0,0,0,40.54,5.247927513,275.8972991,303.0792844,37.28946539,1.962603441,13.04353804,4.773010587,3.389256415,846,23,3.926,84
,0.2983,0.08898289,56.4273,11.99855161,34.96938076,-0.242359376,0.248032918,7.264039063,12.78466548,304.1,0,30.808758,6,6,23,0.468167774,-0.218900632,0.13146019,-0.187683272,0.145634362,41.14627303,38.2423952,47.3683277,52.89474232,51.76232592,1584.003252,1879.090827,2837.562676,2752.154981,2151.014372,2,18,21.251242,0,0,0,6,0,0,0,0,0,0,0,0,0.114481121,0.351579285,0,0,0,0.040585228,0.097374192,3.054573407,0.49279928,0.780330086,0.201184464,0.885935129,0.054943971,0.187782043,0.015860958,12.84493498,7.716162048,8.66858933,5.950496536,4.992919191,3.558889824,3.072925766,1.488548549,9.247481376,5.262821374,4.383608384,2.915731564,2.003944236,1.265122664,0.806828615,0.34418396,4.558599854,7.249829171,9.187956281,1.493652088,1.934319985,2.15320791,194,0.588235294,0.459232207,2,7,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43209877,4.280618312,2.56,3,16,0,0,1.13,0,0,0,0,0.908560296,6.391058757,0,3.301927249,0,0,1.44224957,0,0,0,0.333333333,0,0.5,0,0,0.428571429,0.75,1,2,2,1,1,0,0,0,2,0,0,0,135.45,5.169925001,203.8499022,294.9488254,33.60636411,1.976844948,27.46685228,9.734852472,8.441692859,460,29,-0.5,94
,1.235,1.525225,79.5149,11.98845126,18.99840729,-0.365206211,0.295663509,4.514278111,11.0440928,1473.07,1,48.185274,10,11,42,0.617777436,-0.244459375,-0.08715839,-0.155627906,0.276915366,28.90539215,29.90751651,42.09440843,49.02202716,49.72335732,1669.827065,2047.940328,2875.47928,3200.073643,2880.05583,1,27,27.416726,0,0,2,6,2,4,3,0,0,0.288675135,0.166666667,0,0.394616868,0.727768905,0.288675135,0.129099445,0,0.199682924,0.275574623,1.775232834,0,0.636636523,0,0.74010451,0,0.166417979,0,16.8445705,11.55855065,10.84231743,8.964559166,7.687201531,6.43829766,4.762311494,3.613276889,13.0881436,8.133883267,6.373312034,4.440435226,3.239321974,2.330604334,1.377013726,0.893927188,4.435907746,7.222242842,11.01871578,1.579644246,2.18261623,2.791697922,440,0.791666667,0.225196373,2,4,0.411764706,0,0,0,0,0,0,0,0,5,0,0,3,1,0,0,1,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41563786,6.9575,3.36,3,15,0,0,2.56,0,0,0,0,9.003212111,19.70934266,0,10.75666579,0,0,0.944940787,0,0,0,0,0,0,0.43643578,0.25,0.454545455,0.833333333,3,4,2,3,1,1,0,0,3,0,0,0,74.57,5.754887502,291.8721299,331.1332198,49.01608449,2.042336854,19.96833626,7.434295983,9.9456718,1234,43,2.492,134
,-0.5211,0.27154521,95.1207,11.99614623,15.99929719,-0.411936908,0.16185869,4.472843219,12.61270161,2764.04,0,60.17179,0,0,55,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,0,28,34.71221,0,0,0,3,1,3,8,4,2,0,0,0.083333333,0.384805741,0.970615381,0,0,0.083333333,0.349072856,0.773729434,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,6.936697888,12.96535304,19.54447223,5.464825528,9.699940832,13.46975217,477,0.68,0.215473412,2,4,0.80952381,0,0,0,0,0,0,2,0,8,0,1,0,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.36734694,6.26962963,2.587658721,4,4,0,2,3.33,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0,0,0,0,0,0,0,0,0.5,1,2,4,0,1,0,0,0,1,3,0,0,0,74.6,5.807354922,349.5978317,346.2144097,51.21229672,2.048491869,10.04073916,10.04073916,0,1305,53,1.704,146
,-1.1216,1.25798656,96.3667,11.9,15.99894107,-0.392771234,0.189943364,4.537215455,12.62741592,2831.05,0,60.97379,0,0,56,0.520339785,-0.106095524,-0.198675622,0.065021803,0.022407201,29.87234518,30.66045989,51.32091977,64.86613377,60.42003265,2314.196892,2940.371968,4801.370095,5398.423244,4589.113015,0,29,34.71221,0,0,0,3,1,3,8,4,2,0,0,0.072168784,0.425023735,1.116645258,0,0,0.072168784,0.350260508,0.809844482,3.170365094,0.321975275,1.781446064,0.557566756,2.270137274,0.243652616,1.067221801,0.286855991,18.90541292,12.17050462,12.32008542,11.54020407,9.71610736,7.819332562,5.811462435,4.43084756,15.70174296,9.957047497,9.557340138,8.653266583,7.281019868,5.590578717,4.114822012,2.993701779,8.85081559,15.53077528,23.16283745,6.020355596,10.3030834,14.285888,496,0.653846154,0.261809936,3,5,0.80952381,0,0,0,0,0,0,2,0,8,0,1,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32223543,6.25,2.486019891,4,4,0,2,3.22,0.166666667,4.43919175,3.997196506,2.318983764,9.152369233,20.19672217,8.84229786,6.866435626,8.00386813,1.10520945,1.642784601,0,0,0,0,0,0,0,0,0.5,1,2,4,0,1,0,0,0,1,3,0,0,0,94.83,5.857980995,358.3880584,362.2093243,52.97222991,2.037393458,12.55549483,12.55549483,0,1425,59,0.553,154
,1.6294,2.65494436,126.546,11.98826531,31.97207263,-0.311703707,0.244959979,5.584817009,10.32003852,2977.1,0,69.296204,15,16,60,0.633121637,-0.368771201,-0.005024644,0.239062687,-0.279846181,42.61104195,46.38849649,59.61835199,57.82141436,57.82139909,2400.515816,2802.467724,3979.491777,3832.302626,3636.847668,0,35,45.303796,0,0,3,10,1,6,1,0,0,0,0,0.096225045,0.426346367,0.649307445,0,0,0.036084392,0.155281698,0.179066614,3.501565461,0.353553391,0.411866187,0,1.393939908,0.050999172,0.099487948,0,22.88010441,15.1924918,15.06742277,11.01166127,9.616499333,7.723647661,5.482288577,4.178434198,18.625605,11.02982899,8.748421239,5.403014045,4.028258387,2.732353819,1.613673096,1.050367482,4.947579089,8.221517023,10.95889025,1.842368086,2.608044467,2.896694618,910,0.6875,0.26043724,3,8,0.363636364,0,0,0,0,0,0,3,0,4,0,0,7,1,0,0,1,4,2,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.10367347,10.7266436,6.575963719,3,16,0,3,2.78,0.360146038,4.124846293,3.576370237,0,11.55373549,20.15810376,0,6.2047604,0,0,0.550321208,0,0,0,0,0,0.807346298,1.712515874,0.333333333,0.470588235,0.888888889,7,4,3,3,2,0,0,1,3,0,0,0,118.81,6.129283017,396.7108815,456.19436,65.20096451,2.037530141,29.76142372,7.337916949,19.18459114,3349,49,2.911,172
,-2.2849,5.22076801,62.8188,11.99440261,15.99793383,-0.308410941,0.223918829,4.486091797,9.807671333,954.08,0,37.636688,0,0,35,0.817703742,-0.410187416,-0.204150137,0.414579397,-0.192269599,23.53779735,22.99018724,33.37021556,30.78833713,29.20276549,1049.35933,1201.419306,1612.139177,1506.353874,1274.86266,2,20,26.603312,0,0,4,0,0,6,1,0,0,0,0,0,0.136082763,0.359561759,0,0,0,0.055901699,0.081545212,1.761193611,0,0.11785113,0,0.758462648,0,0.091287093,0,13.99119935,8.935560746,8.673991628,6.000973155,5.498145334,3.642009977,2.449173031,1.25442749,10.64030453,6.055646423,4.866331987,3.131268766,2.285927756,1.400992465,0.718802412,0.37318815,2.633270707,4.572926735,5.694504567,1.212172519,1.577050079,1.762493266,291,0.736842105,0.368570224,2,8,0.636363636,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39,6.635204082,4.5,3,5,0,3,1.79,0,1.610985037,1.508544084,0,3.195771718,8.394708266,0,2.431747822,0,0,0.873580465,0,0,0,0,0,0.111111111,0.942809042,0.333333333,0.444444444,0.8,3,2,0,2,0,0,0,0,2,0,0,0,98.82,5.321928095,242.701485,268.1171551,37.81859901,1.99045258,22.79872089,10.0829004,12.71582049,736,26,-2.616,96
