Title,ALogP,ALogp2,AMR,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,fragC,nAcid,apol,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nBase,nB,bpol,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,ECCEN,FMF,tpsaEfficiency,nHBDon,nHBAcc,HybRatio,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,Kier1,Kier2,Kier3,nAtomLC,nAtomP,LipinskiFailures,nAtomLAC,MLogP,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,PetitjeanNumber,topoShape,nRotB,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,TopoPSA,VAdjMat,VABC,MW,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,WPATH,WPOL,XLogP,Zagreb
,1.3695,1.87553025,84.6639,11.99617025,15.99794648,-0.3842951,0.116043137,5.398612759,10.358003,1829.03,0,50.258618,6,6,46,0.191313791,-0.08456972,-0.057786216,0.067676279,0.003960343,21.49442964,22.16300164,29.82745749,30.04855522,27.66100366,1347.337372,1536.304128,2075.941016,1990.53433,1732.010578,1,21,31.063382,0,0,1,5,2,5,4,0,0,0,0,0.096225045,0.262891712,0.489999498,0,0,0.044194174,0.096277507,0.142517578,1.167333734,0,0.219821982,0,0.600614026,0,0.074318909,0,14.53516943,9.651397005,8.239725208,6.567764752,5.534192073,4.307206193,2.834734095,1.726863595,12.70598198,7.661400823,5.594336415,3.856903193,2.935014874,1.911481579,1.114117108,0.613052946,2.617018236,4.275808098,5.940768867,1.233364861,1.815864842,2.015665237,332,0.45,0.129465411,2,2,0.529411765,0,0,0,0,0,0,2,1,7,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.37188209,7.852040816,4.25,7,10,0,3,3,0.35568933,5.81722555,2.759882039,0,10.65502285,12.52302986,0,5.450691788,0,0,0,0,0,0,0,0,0,0.166666667,0,0.5,1,7,2,1,1,1,0,0,1,1,0,0,0,35.5,5.392317423,287.2131923,274.2045137,40.02851735,2.001425867,8.968113613,2.564200064,6.403913549,862,28,3.737,98
,3.8879,15.11576641,88.72,11.85,34.96885361,-0.276011264,0.154796819,6.463742168,11.85129327,982.05,0,45.168309,17,17,35,0.254180821,-0.112369676,-0.075225919,0.082628125,-0.032357938,31.15287111,28.47502447,42.45150315,46.45150315,44.25770478,1761.180161,2129.489982,3106.199555,3501.843726,3104.344236,0,25,19.251691,0,0,2,11,2,2,0,0,0,0,0,0.096225045,0.389925437,0.487886262,0,0,0.02236068,0.105483684,0.120114794,1.37707013,0,0.35863639,0,0.691548153,0,0.11222033,0,15.10408353,10.73718344,9.77729252,8.581923719,7.621542025,6.434551143,4.62631569,3.641519375,12.74865674,7.427086127,5.627618309,4.007412793,2.964759405,2.093275911,1.259444009,0.819761153,3.496856913,6.288699403,9.31720075,1.377142306,2.047205384,2.535667986,346,0.909090909,0.139800046,0,3,0.117647059,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5232,6.481481481,2.921953095,0,19,1,0,2.78,0,1.481192686,1.997962464,0,10.31041067,19.324292,0,8.204062082,0,0,0,0,0,0,0,0,1.310370697,1.310370697,0,0.444444444,0.8,1,4,3,2,3,0,0,1,2,1,0,0,43.07,5.64385619,255.9323428,308.0828742,45.95561616,2.088891643,15.39011469,0,12.83433294,926,40,5.5,122
,3.3752,11.39197504,91.0169,11.85,14.00308416,-0.308649332,0.117254189,5.744386719,11.99394647,1696.01,0,51.636239,12,12,44,0.100415273,-0.066940815,0.006829029,0.014622991,-0.006831634,21.3599803,23.4985458,31.16618193,35.16618193,32.16618193,1664.362274,1946.554465,2693.477615,3122.227053,2621.264165,1,23,27.123761,0,0,0,9,5,1,3,0,0,0,0,0,0.166666667,0.214076175,0,0,0,0.055555556,0.067061488,1.149829914,0,0.247193875,0,0.736858262,0,0.100592232,0,14.65648977,10.2540202,8.982738022,7.262809385,6.252455047,5.294526856,3.828924622,2.944232484,12.97179314,7.769385702,6.02404445,4.203521425,3.103552223,2.265414682,1.488267017,0.985923074,2.56097718,4.350864458,6.367855926,1.336472708,1.885349852,2.355893268,331,0.714285714,0.011689026,0,1,0.3,0,0,0,0,0,0,2,0,4,0,1,8,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87901701,7.513007284,3.854848305,5,14,0,3,3.55,0.5,4.122596842,1.625198014,0,21.4769147,23.93396682,0,5.841906811,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.8,3,3,2,1,2,0,0,0,2,1,0,0,3.24,5.523561956,288.1483244,277.1830499,43.27108331,2.060527777,2.98473945,0,2.98473945,882,35,4.926,108
,0.3785,0.14326225,35.1656,11.85,15.99491791,-0.344132769,0.219827678,4.893182424,8.190461799,135.05,0,16.669172,9,10,14,0.282946399,-0.168023577,0.133086514,-0.214794139,0.108258003,12.21439024,12.68916388,17.60260578,14.51952976,9.546527327,440.8437666,511.3007135,691.5519795,495.7309903,245.1153648,0,11,7.672828,0,0,3,0,1,0,0,0,0,0,0,0.11785113,0.219416097,0.387458418,0,0,0.032274861,0.045004944,0.051989152,0.538451691,0,0.164266427,0,0.178070483,0,0.030571187,0,6.974691495,4.877010098,4.26302547,3.68315398,3.089158958,1.979356979,1.166121214,0.628003494,4.94355492,2.707698995,1.829559962,1.226977887,0.752214548,0.355770595,0.147582262,0.058550822,1.440177475,2.343625286,2.604656199,0.365419436,0.415164503,0.321895076,79,0.9,0.549035707,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.694214876,2.56,1.12,0,10,0,0,1.46,0,0,0,0,0.25,3.14734519,0,2.381101578,0,0,0,0,0,0,0,0,2.498049533,0,0,0.25,0.333333333,0,2,2,1,1,0,0,1,1,0,0,0,74.69,4.459431619,90.75489716,136.0385108,20.41041027,2.041041027,14.67648787,2.545324805,12.13116307,105,12,0.905,52
,3.1629,10.00393641,51.8897,11.99340585,15.99491842,-0.273592254,0.246214434,5.083666658,10.0413213,547.03,0,30.363516,11,11,26,0.217572981,-0.092401784,-0.062392765,0.087021788,-0.042171467,15.49442964,16.35680001,23.38119097,22.04855522,17.82691371,875.3329774,1015.787804,1410.352139,1238.85224,900.0369352,0,15,16.716484,0,0,1,8,0,1,0,0,0,0,0,0.07856742,0.383125254,0.494860619,0,0,0.028867513,0.116028912,0.118208859,0.941632388,0,0.334355769,0,0.406339672,0,0.111186807,0,10.12939203,6.698377303,6.024827151,5.099487571,4.268771634,2.950543404,1.434205597,0.939397644,8.266777097,4.510192006,3.294915968,2.352320071,1.508471214,0.872409378,0.3697945,0.192006223,2.417098016,4.089546012,5.360873589,0.924076459,1.176289346,1.2578571,161,0.785714286,0.143172361,0,0,0.181818182,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51555556,4.244897959,2.020408163,0,12,0,0,2.34,0.333333333,2.606389551,2.449489743,0,6.409925916,6.641727411,0,1.310370697,0,0,0,0,0,0,0,0,0,0,1,0.428571429,0.75,1,2,2,2,2,0,0,1,1,0,0,0,26.93,4.906890596,180.8008258,188.0949631,28.08960505,2.006400361,9.183379519,2.537049005,6.646330513,284,20,1.321,72
,1.2114,1.46748996,44.4466,11.99626876,15.99928671,-0.346567765,0.312202123,3.985397015,8.644205453,285.04,1,24.382344,6,6,21,0.448010349,-0.238026045,0.055242086,-0.115766308,0.175925166,16.09787614,14.66045989,20.54148993,18.65673582,18.87358191,564.5344826,625.394696,799.5450137,732.6482704,556.6910577,0,13,12.577656,0,0,2,5,1,1,0,0,0,0,0,0,0.083333333,0.107038088,0,0,0,0.027777778,0.025229119,1.044331054,0,0.204124145,0,0.260071229,0,0.030186502,0,9.844934983,6.109060905,5.581957363,3.598329947,3.012151371,2.158719217,1.240882803,0.508588337,6.981359544,3.617453648,2.394955678,1.371154665,0.887171219,0.521438127,0.198315454,0.07057334,1.652847622,2.541232856,3.122748345,0.39234146,0.474383709,0.457103458,123,0.461538462,0.3532504,1,3,0.111111111,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07692308,5.024221453,3.324099723,3,12,0,0,2.01,0,0.808206202,1.437216448,0,3.965406457,6.373468493,0,3.14734519,0,0,0.721124785,0.944940787,0,0,0,0,0,0,0,0.5,1,3,1,1,1,1,0,0,0,1,0,0,0,63.6,4.700439718,162.9424749,180.0422588,25.25208518,1.942468091,10.19241027,10.19241027,0,246,16,1.422,60
,1.3048,1.70250304,46.1797,11.999,34.96985361,-0.272146785,0.297235508,3.43951876,8.056574083,268.07,0,24.065137,0,0,21,0.339874149,-0.192228987,0.099207029,-0.031845027,-0.164236193,30.05477879,16.81380289,18.5886341,20.62495879,21.16859523,512.127719,515.1979901,547.7836641,535.5006058,450.5536985,0,11,13.914863,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402368927,0,0.11785113,0,0.116354225,0,0.014433757,0,9.397341225,5.756748817,4.07651549,3.001600533,2.023603362,1.178468348,0.392258898,0.201184464,7.807137735,4.333653737,2.570614374,1.358040104,0.759538088,0.401173515,0.156146538,0.07495932,1.069035594,1.442809042,1.408291245,0.228052503,0.264970779,0.2466334,129,0,0.289990222,1,3,0.8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7.638888889,5.325443787,9,6,0,2,1.24,0,0,0,0,2.065979662,1.632993162,0,0,0,0,0.25,0,0,0,0,0,0.333333333,1.414213562,0,0.5,1,7,0,0,0,0,0,0,0,0,0,0,0,61.77,4.459431619,170.756334,213.007182,22.48773052,1.873977543,18.66723437,4.94539468,8.892216382,226,13,0.886,46
,0.4968,0.24681024,42.8759,11.99347887,15.99592273,-0.27577452,0.28951025,4.963224269,9.556260598,443.06,0,26.75193,9,10,24,0.527095476,-0.431025206,0.377406093,-0.332663005,0.119802352,16.98885928,17.49218522,26.90332734,30.09370344,23.78820166,810.6717569,971.197571,1439.864736,1371.472734,924.1742904,0,15,20.10807,0,0,2,1,0,0,0,0,0,0,0,0.096225045,0.244373193,0.514167899,0,0,0.028867513,0.068711215,0.111897666,1.252696494,0,0.599979125,0,0.545076318,0,0.142308011,0,10.45566545,6.53658126,6.232306059,5.877297755,4.481843313,3.124274223,1.970467231,1.054460032,8.182701232,4.107927643,3.233448966,2.316512895,1.471179885,0.86706189,0.416395747,0.173811131,3.705282687,5.934886904,8.621269734,1.156969032,1.462083728,1.729309751,137,0.642857143,0.318527825,0,1,0.375,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51555556,3.538752363,1.454545455,0,11,0,0,1.68,0.646330407,0.877205321,4.326341831,0,0,1.519671371,0,3.532775529,0,0,0.25,0,0,0,0,0,0,1.190550789,1.144714243,0.333333333,0.5,0,2,2,1,1,0,0,1,1,0,0,0,61.82,4.906890596,162.3330777,194.0803756,27.80010233,1.985721595,17.7615916,5.042091119,12.71950048,258,25,-0.153,76
,3.1411,9.86650921,70.1378,11.99334264,15.99491943,-0.279347668,0.302593132,5.044150579,11.11513867,718.03,0,37.403516,12,12,30,0.201648107,-0.161908586,0.086980417,-0.012731672,-0.011389976,19.49442964,20.99681971,30.13163123,34.99363942,33.32545951,1360.064804,1623.224288,2309.7185,2694.781019,2161.193469,0,20,15.396484,0,0,0,12,2,0,0,0,0,0,0,0,0.166666667,0.214076175,0,0,0,0.055555556,0.056920215,1.049943305,0,0.337915717,0,0.404372439,0,0.088484166,0,12.53516943,8.770856948,7.815500107,6.60256674,5.937393845,5.114072541,3.424273062,2.423543513,9.706314847,5.729003814,4.124612648,3.018151561,2.210962543,1.558353734,0.859895785,0.507441332,2.683734122,4.868113744,7.506857617,0.94416966,1.40062731,1.726699424,223,0.833333333,0.196234597,1,3,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.005,5.551020408,2.524654832,3,18,0,0,2.78,0,0,0,0,14.0762043,17.81913246,0,4.689541397,0,0,0,0,0,0,0,0.5,0,0,0,0.428571429,0.75,1,3,3,1,1,0,0,0,2,1,0,0,46.33,5.321928095,218.8189295,236.0949631,37.24313838,2.069063243,8.382014121,2.444637468,5.937376653,521,33,2.296,96
,2.8636,8.20020496,78.1827,11.85,34.96985421,-0.331600252,0.258936209,3.775353194,10.30815793,1102.05,1,44.373067,6,6,38,0.373131169,-0.168569735,-0.090446961,0.125722505,-0.027467363,36.33481819,24.06627103,29.006922,28.881151,30.63744845,1153.222737,1251.403975,1534.238931,1555.716186,1372.509607,0,19,24.548933,0,0,1,5,1,4,3,0,0,0,0,0,0.083333333,0.107038088,0,0,0,0.027777778,0.032064455,0.945705769,0,0.083333333,0,0.368739851,0,0.0372678,0,14.08757567,9.168233758,7.442986032,5.270856948,4.120409928,3.077570448,2.052209114,1.275232834,12.32961086,7.41583471,5.034680692,3.20450979,2.299288474,1.510101975,0.877377914,0.436116388,1.664496878,2.317490793,2.722016415,0.743748523,1.05117641,1.15451742,343,0.315789474,0.133760379,1,3,0.5,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.05263158,9.833648393,6.816568047,7,7,0,4,2.45,0,0,0,0,15.65778858,10.64669123,0,0.685006711,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,9,1,1,1,1,0,0,0,1,0,0,0,40.54,5.247927513,275.8972991,303.0792844,37.28946539,1.962603441,13.04353804,4.773010587,3.389256415,846,23,3.926,84
